hgnc_symbol,role
A1BG,train
A2M,train
AAAS,val
AACS,train
AAGAB,train
AAK1,train
AAMDC,train
AAR2,train
AARS2,val
AARSD1,train
AASDH,challenge
AASDHPPT,train
AASS,train
ABAT,train
ABCA1,train
ABCA2,challenge
ABCA3,val
ABCA5,challenge
ABCA7,train
ABCB1,train
ABCB6,calibration
ABCB7,train
ABCB8,train
ABCB9,train
ABCC1,train
ABCC10,train
ABCC2,train
ABCC3,train
ABCC4,train
ABCC5,train
ABCC8,train
ABCD2,calibration
ABCD3,calibration
ABCD4,train
ABCE1,train
ABCF2,train
ABCF3,train
ABCG1,train
ABHD10,train
ABHD11,train
ABHD12,train
ABHD13,train
ABHD14A,train
ABHD14B,val
ABHD15,val
ABHD16A,train
ABHD16B,train
ABHD17A,train
ABHD17B,train
ABHD18,train
ABHD2,challenge
ABHD3,train
ABHD4,train
ABHD5,train
ABHD6,train
ABHD8,train
ABI1,challenge
ABI2,challenge
ABI3,challenge
ABITRAM,train
ABL1,train
ABL2,train
ABLIM3,calibration
ABRACL,train
ABRAXAS1,calibration
ABRAXAS2,calibration
ABT1,train
ABTB1,train
ABTB2,train
ABTB3,train
ACAA1,train
ACAA2,train
ACACA,train
ACACB,challenge
ACAD10,challenge
ACAD11,challenge
ACAD8,train
ACAD9,train
ACADM,val
ACADS,train
ACADSB,val
ACADVL,train
ACAP1,train
ACAP2,val
ACAP3,train
ACAT1,val
ACAT2,train
ACBD3,challenge
ACBD4,train
ACBD5,train
ACBD6,train
ACCS,train
ACD,train
ACE,train
ACER1,challenge
ACER2,val
ACER3,val
ACIN1,train
ACKR3,train
ACLY,train
ACO1,val
ACO2,challenge
ACOT13,challenge
ACOT2,train
ACOT4,train
ACOT7,train
ACOT8,train
ACOT9,train
ACOX1,train
ACOX3,train
ACP1,train
ACP2,val
ACP5,train
ACP6,train
ACRBP,train
ACSF2,train
ACSF3,val
ACSL1,train
ACSL3,train
ACSL4,train
ACSL5,train
ACSL6,train
ACSM3,train
ACSS1,val
ACSS2,val
ACTA2,train
ACTB,train
ACTG1,train
ACTMAP,train
ACTN1,train
ACTN4,train
ACTR1A,challenge
ACTR1B,challenge
ACTR2,challenge
ACTR3,train
ACTR3B,train
ACTR3C,train
ACTR5,train
ACTR8,train
ACVR1,train
ACVR1B,train
ACVR1C,train
ACVR2A,train
ACVR2B,train
ACY1,train
ACYP1,train
ACYP2,train
ADA,train
ADA2,val
ADAM10,train
ADAM12,train
ADAM15,val
ADAM17,train
ADAM19,train
ADAM22,challenge
ADAM23,challenge
ADAM28,train
ADAM8,train
ADAM9,challenge
ADAMTS1,challenge
ADAMTS10,val
ADAMTS17,val
ADAMTS6,train
ADAMTSL5,train
ADAP1,val
ADAR,challenge
ADARB1,challenge
ADARB2,challenge
ADAT1,train
ADAT2,train
ADAT3,val
ADCK1,val
ADCK2,train
ADCK5,val
ADCY1,train
ADCY3,challenge
ADCY4,train
ADCY7,train
ADCY9,val
ADD1,challenge
ADD2,challenge
ADD3,challenge
ADGRA3,val
ADGRB2,challenge
ADGRE2,train
ADGRE5,train
ADGRG1,challenge
ADGRG5,challenge
ADGRL1,challenge
ADGRV1,val
ADH1B,val
ADH5,val
ADHFE1,train
ADI1,val
ADIPOR1,challenge
ADIPOR2,challenge
ADIRF,challenge
ADISSP,calibration
ADK,train
ADM,challenge
ADM5,val
ADNP,val
ADNP2,train
ADO,challenge
ADORA2A,train
ADORA2B,train
ADPGK,val
ADPRH,val
ADPRM,challenge
ADPRS,challenge
ADRB2,train
ADRM1,train
ADSS2,val
ADTRP,train
AEBP1,train
AEBP2,train
AEN,train
AFAP1,challenge
AFAP1L2,train
AFDN,val
AFF1,train
AFF2,train
AFF3,train
AFF4,train
AFG2A,train
AFG2B,train
AFG3L2,calibration
AFMID,train
AFTPH,train
AGA,train
AGAP1,val
AGAP2,train
AGAP3,val
AGAP4,val
AGAP5,val
AGAP6,val
AGAP9,train
AGBL2,train
AGBL5,val
AGER,challenge
AGFG1,train
AGFG2,train
AGGF1,val
AGK,train
AGL,train
AGMAT,train
AGO1,train
AGO2,train
AGO3,train
AGO4,train
AGPAT1,train
AGPAT2,val
AGPAT3,train
AGPAT4,train
AGPAT5,calibration
AGPS,challenge
AGR2,train
AGR3,train
AGRN,challenge
AGTPBP1,calibration
AGTRAP,train
AHCYL1,train
AHCYL2,train
AHDC1,train
AHI1,val
AHNAK,train
AHR,train
AHRR,train
AHSA1,train
AHSP,train
AIDA,val
AIF1,val
AIFM1,train
AIFM2,calibration
AIG1,val
AIM2,challenge
AIMP1,val
AIMP2,val
AIP,val
AIRE,train
AIRIM,train
AJAP1,train
AK1,train
AK3,train
AK4,train
AK5,calibration
AK9,train
AKAP1,challenge
AKAP10,train
AKAP11,calibration
AKAP12,train
AKAP13,train
AKAP17A,challenge
AKAP19,train
AKAP5,calibration
AKAP7,train
AKAP8,train
AKAP8L,train
AKAP9,train
AKIP1,train
AKIRIN1,train
AKIRIN2,train
AKNA,train
AKR1A1,train
AKR1B1,train
AKR1C1,train
AKR1C3,train
AKR1E2,train
AKR7A2,train
AKR7A3,train
AKT1,train
AKT1S1,train
AKT2,train
AKT3,train
AKTIP,train
ALAD,val
ALAS1,train
ALAS2,train
ALCAM,train
ALDH16A1,train
ALDH18A1,val
ALDH1A1,challenge
ALDH1B1,challenge
ALDH2,challenge
ALDH3A2,challenge
ALDH5A1,challenge
ALDH7A1,challenge
ALDH8A1,train
ALDH9A1,challenge
ALDOA,val
ALDOC,val
ALG1,train
ALG10,train
ALG10B,train
ALG12,train
ALG13,train
ALG14,train
ALG2,train
